Conference;Year;Author1;Author2;Author3;Author4;Author5;Author6;Author7;Author8;Author9;Author10;Author11;Author12;Author13;Author14;Author15;Title;specifier1;qualifier1;field1;Type1;Proprietary1;Specifier2;Qualifier2;Field2;Type2;Proprietary2;Specifier3;Qualifier3;Field3;Type3;Proprietary3;Specifier4;Qualifier4;Field4;Type4;Proprietary4;Specifier5;Qualifier5;Field5;Type5;Proprietary5;Specifier6;Qualifier6;Field6;Type6;Proprietary6;Specifier7;Qualifier7;Field7;Type7;Proprietary7;ArtifactEvaluation;ArtifactwasAvailable;Artifactisavailable;
ECRTS;2017;Dominic Oehlert;Arno Luppold;Heiko Falk;;;;;;;;;;;;;Bus-Aware Static Instruction SPM Allocation for Multicore Hard Real-Time Systems;malardalen;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Ankit Agrawal;Gerhard Fohler;Johannes Freitag;Jan Nowotsch;Sascha Uhrig;Michael Paulitsch;;;;;;;;;;Contention-Aware Dynamic Memory Bandwidth Isolation With Predictability in COTS Multicores: An Avionics Case Study;autobench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Renato Mancuso;Rodolfo Pellizzoni;Neriman Tokcan;Marco Caccamo;;;;;;;;;;;;WCET Derivation Under Single Core Equivalence With Explicit Memory Budget Assignment;;undetermined;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
ECRTS;2017;Sandro Pinto;Jorge Pereira;Tiago Gomes;Adriano Tavares;Jorge Cabral;;;;;;;;;;;LTZVisor: TrustZone is Key;thread-metric rtos test suite;named;;benchmark;no;lmbench;named;;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Zhe Jiang;Neil Audsley;;;;;;;;;;;;;;VCDC: The Virtualized Complicated Device Controller;;custom;network-on-chip;case study;;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Pierre Lucas;Kevin Chappuis;Michele Paolino;Nicolas Dagieu;Daniel Raho;;;;;;;;;;;VOSYSmonitor, a Low Latency Monitor Layer for Mixed-Criticality Systems on ARMv8-A;;custom;;microbenchmark;;hackbench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Vladimir Nikolov;Stefan Wesner;Eugen Frasch;Franz J. Hauck;;;;;;;;;;;;A Hierarchical Scheduling Model for Dynamic Soft-Realtime Systems;;custom;;microbenchmark;;;custom;video-on-demand;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Abhishek Singh;Pontus Ekberg;Sanjoy Baruah;;;;;;;;;;;;;Applying Real-Time Scheduling Theory to the Synchronous Data Flow Model of Computation;sdf3;named;;graph generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Jian-Jia Chen;Georg von der Bruggen;Wen-Hung Huang;Robert Davis;;;;;;;;;;;;On the Pitfalls of Resource Augemntation Factors and Utilization Bounds in Real-Time Scheduling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2017;Arne Hamann;Dakshina Dasari;Simon Kramer;Michael Pressler;Falk Wurst;;;;;;;;;;;Communication Centric Design in Complex Automotive Embedded Systems;waters 2017;named;automotive;industrial challenge;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
